Code gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;Agence gare;Région SNCF;Unité gare;UT;Nbre plateformes;N° plateforme;Intitulé plateforme;Code postal;Commune;Département - Commune;Département;Région;Longitude WGS84;Latitude WGS84;Code UIC;TVS;Segment DRG;Niveau de service;SOP;RG;Date fin validité plateforme;WGS 84
00869;Boucau;Boucau;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG EEV Aquitaine;;1;1;Boucau;64340;Boucau;64-140;Pyrénées-Atlantiques;Nouvelle-Aquitaine;-1.4905872;43.5234217;0087673095;BUU;c;1;;;;43.5234217, -1.4905872
00873;Buzy en Béarn;Buzy en Béarn;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG EEV Aquitaine;;1;1;Buzy en Béarn;64260;Buzy;64-157;Pyrénées-Atlantiques;Nouvelle-Aquitaine;-0.4558864;43.1482723;0087672634;BUZ;c;1;;;;43.1482723, -0.4558864
00875;Croix du Prince;Croix du Prince;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG EEV Aquitaine;;1;1;Croix du Prince;64000;Jurançon;64-284;Pyrénées-Atlantiques;Nouvelle-Aquitaine;-0.3791261;43.2857104;0087672600;XDP;c;1;;;;43.2857104, -0.3791261
00882;Coarraze - Nay;Coarraze - Nay;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG EEV Aquitaine;;1;1;Coarraze - Nay;64800;Coarraze;64-191;Pyrénées-Atlantiques;Nouvelle-Aquitaine;-0.2416429;43.1818351;0087672139;CZN;c;1;;;;43.1818351, -0.2416429
00883;Montaut Bétharram;Montaut Bétharram;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG EEV Aquitaine;;1;1;Montaut Bétharram;64800;Montaut;64-400;Pyrénées-Atlantiques;Nouvelle-Aquitaine;-0.1982813;43.1269731;0087672113;MHZ;c;1;;;;43.1269731, -0.1982813
00885;Saint-Martin-d'Oney;Saint-Martin-d'Oney;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG EEV Aquitaine;;1;1;Saint-Martin-d'Oney;40090;Saint-Martin-d'Oney;40-274;Landes;Nouvelle-Aquitaine;-0.6516933;43.9301115;0087671495;XMN;c;1;;;;43.9301115, -0.6516933
00886;Ygos;Ygos;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG EEV Aquitaine;;1;1;Ygos;40100;Ygos-Saint-Saturnin;40-333;Landes;Nouvelle-Aquitaine;-0.7361528;43.9781851;0087671487;YGV;c;1;;;;43.9781851, -0.7361528
00893;Lannemezan;Lannemezan;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Lannemezan;65300;Lannemezan;65-258;Hautes-Pyrénées;Occitanie;0.387367;43.114273;0087671123;LNZ;c;1;;;;43.114273, 0.387367
00903;Maurs;Maurs;Oui;Non;AG Centre Est Rhône Alpin;REGION AUVERGNE;UG EEV AUVERGNE;;1;1;Maurs;15400;Maurs;15-122;Cantal;Auvergne-Rhône-Alpes;2.1995656;44.7061543;0087645168;MRS;c;1;;;;44.7061543, 2.1995656
00918;Magnette;Magnette;Oui;Non;AG Centre Est Rhône Alpin;REGION AUVERGNE;UG EEV AUVERGNE;;1;1;Magnette;03260;Audes;03-010;Allier;Auvergne-Rhône-Alpes;2.6028771;46.4641418;0087641365;MGR;c;1;;;;46.4641418, 2.6028771
00926;Huriel;Huriel;Oui;Non;AG Centre Est Rhône Alpin;REGION AUVERGNE;UG EEV AUVERGNE;;1;1;Huriel;03380;Huriel;03-128;Allier;Auvergne-Rhône-Alpes;2.4762569;46.3714332;0087641217;HIL;c;1;;;;46.3714332, 2.4762569
00931;Bellenaves;Bellenaves;Oui;Non;AG Centre Est Rhône Alpin;REGION AUVERGNE;UG EEV AUVERGNE;;1;1;Bellenaves;03330;Bellenaves;03-022;Allier;Auvergne-Rhône-Alpes;3.0665239;46.199256;0087641068;BLE;c;1;;;;46.199256, 3.0665239
00934;Montluçon;Montluçon;Oui;Non;AG Centre Est Rhône Alpin;REGION AUVERGNE;UG EEV AUVERGNE;;1;1;Montluçon;03100;Montluçon;03-185;Allier;Auvergne-Rhône-Alpes;2.596159;46.338101;0087641001;MLN;b;2;;;;46.338101, 2.596159
00937;Montlaur;Montlaur;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Montlaur;31450;Montlaur;31-384;Haute-Garonne;Occitanie;1.5776454;43.4752405;0087618207;MKJ;c;1;;;;43.4752405, 1.5776454
00946;Carmaux;Carmaux;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Carmaux;81400;Carmaux;81-060;Tarn;Occitanie;2.152401;44.048782;0087615625;CMX;c;1;;;;44.048782, 2.152401
00948;Labruguière;Labruguière;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Labruguière;81290;Labruguière;81-120;Tarn;Occitanie;2.2594728;43.5425692;0087615526;LBG;c;1;;;;43.5425692, 2.2594728
00949;Vielmur-sur-Agout;Vielmur-sur-Agout;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Vielmur-sur-Agout;81570;Vielmur-sur-Agout;81-315;Tarn;Occitanie;2.0895781;43.623928;0087615492;VUG;c;1;;;;43.623928, 2.0895781
00953;Marssac-sur-tarn;Marssac-sur-tarn;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Marssac-sur-tarn;81500;Marssac-sur-Tarn;81-156;Tarn;Occitanie;2.026913;43.9151803;0087615419;MSS;c;1;;;;43.9151803, 2.026913
