Code gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;Agence gare;Région SNCF;Unité gare;UT;Nbre plateformes;N° plateforme;Intitulé plateforme;Code postal;Commune;Département - Commune;Département;Région;Longitude WGS84;Latitude WGS84;Code UIC;TVS;Segment DRG;Niveau de service;SOP;RG;Date fin validité plateforme;WGS 84
02418;Steenwerck;Steenwerck;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Steenwerck;59181;Steenwerck;59-581;Nord;Hauts-de-France;2.7855769;50.713459;0087286161;SWK;c;1;;;;50.713459, 2.7855769
02430;Saint-Omer;Saint-Omer;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Saint-Omer;62500;Saint-Omer;62-765;Pas-de-Calais;Hauts-de-France;2.2667624;50.7536204;0087281444;STO;b;2;;;;50.7536204, 2.2667624
02437;Bourbourg;Bourbourg;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Bourbourg;59630;Bourbourg;59-094;Nord;Hauts-de-France;2.1942305;50.952267;0087281279;BBU;c;1;;;;50.952267, 2.1942305
02445;Dunkerque;Dunkerque;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Dunkerque;59140;Dunkerque;59-183;Nord;Hauts-de-France;2.368961;51.030470;0087281006;DKQ;a;2;;;;51.03047, 2.368961
02450;Nointel - Mours;Nointel - Mours;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Nointel - Mours;95590;Nointel;95-452;Val-d'Oise;Île-de-France;2.28066;49.13270;0087276758;NOJ;b;;;;;49.1327, 2.28066
02454;Bornel - Belle-Église;Bornel - Belle-Église;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Bornel - Belle-Église;60540;Bornel;60-088;Oise;Hauts-de-France;2.20717;49.19471;0087276717;BBI;b;1;;;;49.19471, 2.20717
02455;Compiègne;Compiègne;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Compiègne;60200;Compiègne;60-159;Oise;Hauts-de-France;2.823679;49.422005;0087276691;CPE;a;2;;;;49.422005, 2.823679
02465;Ermont Halte;Ermont Halte;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Ermont Halte;95120;Ermont;95-219;Val-d'Oise;Île-de-France;2.26323;48.98980;0087276584;ERM;b;;;;;48.9898, 2.26323
02472;Champagne-sur-Oise;Champagne-sur-Oise;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Champagne-sur-Oise;95660;Champagne-sur-Oise;95-134;Val-d'Oise;Île-de-France;2.24156;49.13573;0087276519;CPI;b;;;;;49.13573, 2.24156
02480;Précy-sur-Oise;Précy-sur-Oise;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Précy-sur-Oise;60460;Précy-sur-Oise;60-513;Oise;Hauts-de-France;2.3764638;49.2033492;0087276410;PYO;c;1;;;;49.2033492, 2.3764638
02481;Saint-Leu-d'Esserent;Saint-Leu-d'Esserent;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Saint-Leu-d'Esserent;60340;Saint-Leu-d'Esserent;60-584;Oise;Hauts-de-France;2.4177845;49.2140819;0087276402;SLT;c;1;;;;49.2140819, 2.4177845
02482;Écouen - Ézanville;Écouen - Ézanville;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Écouen - Ézanville;95440;Ézanville;95-229;Val-d'Oise;Île-de-France;2.36325;49.02273;0087276394;ECZ;b;;;;;49.02273, 2.36325
02486;Rieux - Angicourt;Rieux - Angicourt;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Rieux - Angicourt;60870;Rieux;60-539;Oise;Hauts-de-France;2.52140;49.29866;0087276352;RIA;b;1;;;;49.29866, 2.5214
02487;Deuil - Montmagny;Deuil - Montmagny;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Deuil - Montmagny;95170;Deuil-la-Barre;95-197;Val-d'Oise;Île-de-France;2.33785;48.97589;0087276345;DEU;b;;;;;48.97589, 2.33785
02494;Louvres;Louvres;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Louvres;95380;Louvres;95-351;Val-d'Oise;Île-de-France;2.5018967;49.0496573;0087276253;LOV;b;;;;;49.0496573, 2.5018967
02495;Goussainville;Goussainville;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Goussainville;95190;Goussainville;95-280;Val-d'Oise;Île-de-France;2.4632464;49.0240732;0087276246;GOU;b;;;;;49.0240732, 2.4632464
02497;Villiers-le-Bel - Gonesse - Arnouville;Villiers-le-Bel - Gonesse - Arnouville;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Villiers-le-Bel - Gonesse - Arnouville;95400;Arnouville;95-019;Val-d'Oise;Île-de-France;2.4162288;48.994175;0087276220;VIB;b;;;;;48.994175, 2.4162288
02501;Sannois;Sannois;Oui;Non;AG Ile-de-France;REGION DE PARIS SAINT-LAZARE;;;1;1;Sannois;95110;Sannois;95-582;Val-d'Oise;Île-de-France;2.26377;48.97016;0087276188;SNN;b;;;;;48.97016, 2.26377
02513;Ermont - Eaubonne;Ermont - Eaubonne;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;2;1;Ermont - Eaubonne;95120;Ermont;95-219;Val-d'Oise;Île-de-France;2.2712294;48.9803322;0087276055;ERT;b;;;;;48.9803322, 2.2712294
02514;Champ de Courses d'Enghien;Champ de Courses d'Enghien;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Champ de Courses d'Enghien;95230;Soisy-sous-Montmorency;95-598;Val-d'Oise;Île-de-France;2.29189;48.97975;0087276030;CEG;b;;;;;48.97975, 2.29189
02520;Esches;Esches;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Esches;60110;Esches;60-218;Oise;Hauts-de-France;2.1708125;49.2125205;0087272096;ESC;c;1;;;;49.2125205, 2.1708125
02523;Compans;Compans;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Compans;77290;Compans;77-123;Seine-et-Marne;Île-de-France;2.6652718;48.9915767;0087272047;COJ;c;;;;;48.9915767, 2.6652718
02524;Seugy;Seugy;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Seugy;95270;Seugy;95-594;Val-d'Oise;Île-de-France;2.3989116;49.1189923;0087272039;SWY;c;;;;;49.1189923, 2.3989116
02538;Dammartin - Juilly - Saint-Mard;Dammartin - Juilly - Saint-Mard;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Dammartin - Juilly - Saint-Mard;77230;Saint-Mard;77-420;Seine-et-Marne;Île-de-France;2.69887;49.03219;0087271536;DAM;b;;;;;49.03219, 2.69887
02541;Aéroport Charles de Gaulle 2 TGV;Aéroport Charles de Gaulle 2 TGV;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;UG Paris-Nord;;2;2;Aéroport Charles de Gaulle 2 TGV (RER);95700;Roissy-en-France;95-527;Val-d'Oise;Île-de-France;2.570892;49.003652;0087001479;RYT_TRANS;b;;;;;49.003652, 2.570892
02551;Le Bourget;Le Bourget;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Le Bourget;93350;Bourget;93-013;Seine-Saint-Denis;Île-de-France;2.42571;48.93096;0087271395;LBT;b;;;;;48.93096, 2.42571
02553;Saint-Ouen;Saint-Ouen;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Saint-Ouen;93400;Saint-Ouen;93-070;Seine-Saint-Denis;Île-de-France;2.32257;48.90531;0087271247;SOS;b;;;;;48.90531, 2.32257
02560;Saint-Denis;Saint-Denis;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Saint-Denis;93200;Saint-Denis;93-066;Seine-Saint-Denis;Île-de-France;2.3459524;48.9354933;0087271015;SDE;b;;;;;48.9354933, 2.3459524
02570;Sarre-Union;Sarre-Union;Oui;Non;AG Est-Européen;REGION ALSACE;UG Et TER RHENAN;;1;1;Sarre-Union;67260;Sarre-Union;67-434;Bas-Rhin;Grand Est;7.0850443;48.9360172;0087215459;SUW;b;1;;;;48.9360172, 7.0850443
02276;Rochy-Condé;Rochy-Condé;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Rochy-Condé;60510;Rochy-Condé;60-542;Oise;Hauts-de-France;2.1727344;49.3986042;0087313601;RCY;c;1;;;;49.3986042, 2.1727344
02280;Balagny Saint-Épin;Balagny Saint-Épin;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Balagny Saint-Épin;60250;Balagny-sur-Thérain;60-044;Oise;Hauts-de-France;2.3441977;49.2942448;0087313569;BXE;c;1;;;;49.2942448, 2.3441977
02281;Cires-lès-Mello;Cires-lès-Mello;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Cires-lès-Mello;60660;Cires-lès-Mello;60-155;Oise;Hauts-de-France;2.3601903;49.2717956;0087313551;CIW;b;1;;;;49.2717956, 2.3601903
02287;Rosières;Rosières;Oui;Non;AG Manche-Nord;REGION PICARDIE;UG Picardie;;1;1;Rosières;80170;Rosières-en-Santerre;80-680;Somme;Hauts-de-France;2.71141;49.82253;0087313460;ROS;b;1;;;;49.82253, 2.71141
02290;Rémy;Rémy;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Rémy;60190;Remy;60-531;Oise;Hauts-de-France;2.7059434;49.4331452;0087313403;REY;c;1;;;;49.4331452, 2.7059434
02294;Tricot;Tricot;Oui;Non;AG Manche-Nord;REGION PICARDIE;UG Picardie;;1;1;Tricot;60420;Tricot;60-643;Oise;Hauts-de-France;2.5815586;49.5619878;0087313353;TTR;c;1;;;;49.5619878, 2.5815586
02299;Avrechy;Avrechy;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Avrechy;60130;Avrechy;60-034;Oise;Hauts-de-France;2.4179608;49.4446439;0087313296;AVY;c;1;;;;49.4446439, 2.4179608
02304;La Faloise;La Faloise;Oui;Non;AG Manche-Nord;REGION PICARDIE;UG Picardie;;1;1;La Faloise;80250;Faloise;80-299;Somme;Hauts-de-France;2.3485813;49.696527;0087313239;FLO;c;1;;;;49.696527, 2.3485813
02312;Saint-Roch;Saint-Roch;Oui;Non;AG Manche-Nord;REGION PICARDIE;UG Picardie;;1;1;Saint-Roch;80000;Amiens;80-021;Somme;Hauts-de-France;2.2837132;49.8933575;0087313080;SRO;c;1;;;;49.8933575, 2.2837132
02315;Corbie;Corbie;Oui;Non;AG Manche-Nord;REGION PICARDIE;UG Picardie;;1;1;Corbie;80800;Corbie;80-212;Somme;Hauts-de-France;2.4996846;49.9116183;0087313056;CBI;b;1;;;;49.9116183, 2.4996846
02324;Vauxaillon;Vauxaillon;Oui;Non;AG Manche-Nord;REGION PICARDIE;UG Picardie;;1;1;Vauxaillon;02320;Vauxaillon;02-768;Aisne;Hauts-de-France;3.4096166;49.4741418;0087297283;VXL;c;1;;;;49.4741418, 3.4096166
02330;Viry-Noureuil;Viry-Noureuil;Oui;Non;AG Manche-Nord;REGION PICARDIE;UG Picardie;;1;1;Viry-Noureuil;02300;Viry-Noureuil;02-820;Aisne;Hauts-de-France;3.2503611;49.6274493;0087297051;VWN;c;1;;;;49.6274493, 3.2503611
02335;Anizy - Pinon;Anizy - Pinon;Oui;Non;AG Manche-Nord;REGION PICARDIE;UG Picardie;;1;1;Anizy - Pinon;02320;Pinon;02-602;Aisne;Hauts-de-France;3.4487637;49.4960073;0087296566;API;c;1;;;;49.4960073, 3.4487637
02341;Bohain;Bohain;Oui;Non;AG Manche-Nord;REGION PICARDIE;UG Picardie;;1;1;Bohain;02110;Bohain-en-Vermandois;02-095;Aisne;Hauts-de-France;3.4431289;49.9884143;0087296269;BHI;b;1;;;;49.9884143, 3.4431289
02349;Saint-Quentin;Saint-Quentin;Oui;Non;AG Manche-Nord;REGION PICARDIE;UG Picardie;;1;1;Saint-Quentin;02100;Saint-Quentin;02-691;Aisne;Hauts-de-France;3.2970089;49.8400482;0087296004;SQT;b;2;;;;49.8400482, 3.2970089
02370;Ruminghem;Ruminghem;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Ruminghem;62370;Ruminghem;62-730;Pas-de-Calais;Hauts-de-France;2.1576706;50.8620636;0087287300;RGM;c;1;;;;50.8620636, 2.1576706
02372;Ennevelin;Ennevelin;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Ennevelin;59710;Ennevelin;59-197;Nord;Hauts-de-France;3.1586612;50.5492981;0087287276;ENN;c;1;;;;50.5492981, 3.1586612
02374;Cobrieux;Cobrieux;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Cobrieux;59830;Cobrieux;59-150;Nord;Hauts-de-France;3.2191247;50.5402798;0087287243;CWK;c;1;;;;50.5402798, 3.2191247
02376;Anstaing;Anstaing;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Anstaing;59152;Anstaing;59-013;Nord;Hauts-de-France;3.1933039;50.6040201;0087287219;AWZ;c;1;;;;50.6040201, 3.1933039
02377;Sainte-Marguerite;Sainte-Marguerite;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Sainte-Marguerite;59660;Comines;59-152;Nord;Hauts-de-France;3.0092045;50.7403764;0087287193;XMG;c;1;;;;50.7403764, 3.0092045
02384;Ascq;Ascq;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Ascq;59650;Villeneuve-d'Ascq;59-009;Nord;Hauts-de-France;3.1598992;50.6218591;0087286864;ASC;c;1;;;;50.6218591, 3.1598992
02386;Lesquin;Lesquin;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Lesquin;59810;Lesquin;59-343;Nord;Hauts-de-France;3.11771;50.59068;0087286849;LEQ;b;1;;;;50.59068, 3.11771
02396;Nomain;Nomain;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Nomain;59310;Nomain;59-435;Nord;Hauts-de-France;3.2063499;50.5023744;0087286609;NOM;c;1;;;;50.5023744, 3.2063499
02404;Phalempin;Phalempin;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Phalempin;59133;Phalempin;59-462;Nord;Hauts-de-France;3.01990;50.51540;0087286500;PHA;b;1;;;;50.5154, 3.0199
02408;Santes;Santes;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Santes;59211;Santes;59-553;Nord;Hauts-de-France;2.961977;50.5920123;0087286401;STS;c;1;;;;50.5920123, 2.961977
02409;Hazebrouck;Hazebrouck;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Hazebrouck;59190;Hazebrouck;59-295;Nord;Hauts-de-France;2.54129;50.72501;0087286302;HZK;b;2;;;;50.72501, 2.54129
02412;Quesnoy-sur-Deûle;Quesnoy-sur-Deûle;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Quesnoy-sur-Deûle;59890;Quesnoy-sur-Deûle;59-482;Nord;Hauts-de-France;2.9952832;50.7081361;0087286245;QUS;c;1;;;;50.7081361, 2.9952832
02417;Bailleul;Bailleul;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Bailleul;59270;Bailleul;59-043;Nord;Hauts-de-France;2.73445;50.72916;0087286179;BIU;b;1;;;;50.72916, 2.73445
02419;Armentières;Armentières;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Armentières;59280;Armentières;59-017;Nord;Hauts-de-France;2.87763;50.68084;0087286146;ARM;b;2;;;;50.68084, 2.87763
02425;Lyon Jean Macé;Lyon Jean Macé;Oui;Non;AG Centre Est Rhône Alpin;REGION RHONE-ALPES;UG EEV LYON;;1;1;Lyon Jean Macé;69007;Lyon;69-123;Rhône;Auvergne-Rhône-Alpes;4.84139;45.74495;0087282624;LJC;b;1;;;;45.74495, 4.84139
02428;Ebblinghem;Ebblinghem;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Ebblinghem;59173;Ebblinghem;59-184;Nord;Hauts-de-France;2.409148;50.7306459;0087281469;EBB;c;1;;;;50.7306459, 2.409148
02429;Renescure;Renescure;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Renescure;59173;Renescure;59-497;Nord;Hauts-de-France;2.3713644;50.732006;0087281451;RSC;c;1;;;;50.732006, 2.3713644
02440;Arnèke;Arnèke;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Arnèke;59285;Arnèke;59-018;Nord;Hauts-de-France;2.4083063;50.831522;0087281121;ARN;b;1;;;;50.831522, 2.4083063
02443;Calais - Fréthun;Calais - Fréthun;Oui;Non;AG Manche-Nord;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;;1;1;Calais - Fréthun;62185;Fréthun;62-360;Pas-de-Calais;Hauts-de-France;1.811286;50.902585;0087281071;FHS;a;2;;;;50.902585, 1.811286
02447;Noyon;Noyon;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Noyon;60400;Noyon;60-471;Oise;Hauts-de-France;3.00641;49.57736;0087276782;NOY;b;2;;;;49.57736, 3.00641
02448;Ourscamps;Ourscamps;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Ourscamps;60138;Pimprez;60-492;Oise;Hauts-de-France;2.9540017;49.5341405;0087276774;OUA;c;1;;;;49.5341405, 2.9540017
02449;Ribécourt;Ribécourt;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Ribécourt;60170;Ribécourt-Dreslincourt;60-537;Oise;Hauts-de-France;2.92714;49.50633;0087276766;RIB;b;1;;;;49.50633, 2.92714
02453;Chambly;Chambly;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Chambly;60230;Chambly;60-139;Oise;Hauts-de-France;2.24048;49.16362;0087276725;CVK;b;1;;;;49.16362, 2.24048
02462;Montataire;Montataire;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Montataire;60160;Montataire;60-414;Oise;Hauts-de-France;2.4362155;49.2510365;0087276618;MOO;c;1;;;;49.2510365, 2.4362155
02468;Belloy - Saint-Martin;Belloy - Saint-Martin;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Belloy - Saint-Martin;95270;Belloy-en-France;95-056;Val-d'Oise;Île-de-France;2.36135;49.09807;0087276550;BSW;b;;;;;49.09807, 2.36135
02473;Presles - Courcelles;Presles - Courcelles;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Presles - Courcelles;95590;Presles;95-504;Val-d'Oise;Île-de-France;2.28759;49.11346;0087276501;PRQ;b;;;;;49.11346, 2.28759
02476;Persan - Beaumont;Persan - Beaumont;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Persan - Beaumont;95340;Persan;95-487;Val-d'Oise;Île-de-France;2.27914;49.14795;0087276469;PEB;b;;;;;49.14795, 2.27914
02483;Sarcelles - Saint-Brice;Sarcelles - Saint-Brice;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Sarcelles - Saint-Brice;95200;Saint-Brice-sous-Forêt;95-539;Val-d'Oise;Île-de-France;2.36867;48.99529;0087276386;SLL;b;;;;;48.99529, 2.36867
02489;Chevrières;Chevrières;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Chevrières;60710;Chevrières;60-149;Oise;Hauts-de-France;2.6828025;49.3373064;0087276311;;c;1;;;;49.3373064, 2.6828025
02491;La Borne Blanche;La Borne Blanche;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;La Borne Blanche;60560;Orry-la-Ville;60-482;Oise;Hauts-de-France;2.5058656;49.126985;0087276287;BBN;c;1;;;;49.126985, 2.5058656
02498;Liancourt - Rantigny;Liancourt - Rantigny;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Liancourt - Rantigny;60140;Rantigny;60-524;Oise;Hauts-de-France;2.44532;49.32471;0087276212;LIA;b;1;;;;49.32471, 2.44532
02502;Saint-Gratien;Saint-Gratien;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Saint-Gratien;95210;Saint-Gratien;95-555;Val-d'Oise;Île-de-France;2.28531;48.96403;0087276170;SGT;b;;;;;48.96403, 2.28531
02508;Saint-Ouen-l'Aumône;Saint-Ouen-l'Aumône;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Saint-Ouen-l'Aumône;95310;Saint-Ouen-l'Aumône;95-572;Val-d'Oise;Île-de-France;2.10651;49.04527;0087276105;SOA;b;;;;;49.04527, 2.10651
02509;Pierrelaye;Pierrelaye;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Pierrelaye;95480;Pierrelaye;95-488;Val-d'Oise;Île-de-France;2.15371;49.01955;0087276097;PRY;b;;;;;49.01955, 2.15371
02518;Longueil-Annel;Longueil-Annel;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Longueil-Annel;60150;Longueil-Annel;60-368;Oise;Hauts-de-France;2.8634086;49.4672441;0087272195;LPK;c;1;;;;49.4672441, 2.8634086
02525;Villaines;Villaines;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Villaines;95570;Villaines-sous-Bois;95-660;Val-d'Oise;Île-de-France;2.3513736;49.0798273;0087272021;VWG;c;;;;;49.0798273, 2.3513736
02528;Crouy;Crouy;Oui;Non;AG Manche-Nord;REGION DE PARIS-NORD;UG Picardie;;1;1;Crouy;02880;Crouy;02-243;Aisne;Hauts-de-France;3.3569138;49.4037093;0087271874;CRU;c;1;;;;49.4037093, 3.3569138
02539;Mitry - Claye;Mitry - Claye;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Mitry - Claye;77290;Mitry-Mory;77-294;Seine-et-Marne;Île-de-France;2.64247;48.97569;0087271528;MYV;b;;;;;48.97569, 2.64247
02543;Le Blanc-Mesnil;Le Blanc-Mesnil;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Le Blanc-Mesnil;93150;Blanc-Mesnil;93-007;Seine-Saint-Denis;Île-de-France;2.47747;48.93248;0087271478;BAM;b;;;;;48.93248, 2.47747
02547;Vert Galant;Vert Galant;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Vert Galant;93420;Villepinte;93-078;Seine-Saint-Denis;Île-de-France;2.56670;48.94467;0087271437;VGL;b;;;;;48.94467, 2.5667
02549;Aulnay-sous-Bois;Aulnay-sous-Bois;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Aulnay-sous-Bois;93600;Aulnay-sous-Bois;93-005;Seine-Saint-Denis;Île-de-France;2.49431;48.93179;0087271411;ABM;b;;;;;48.93179, 2.49431
02555;La Barre Ormesson;La Barre Ormesson;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;La Barre Ormesson;95170;Deuil-la-Barre;95-197;Val-d'Oise;Île-de-France;2.31688;48.96633;0087271171;LBJ;b;;;;;48.96633, 2.31688
02557;Épinay-sur-Seine;Épinay-sur-Seine;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Épinay-sur-Seine;93800;Épinay-sur-Seine;93-031;Seine-Saint-Denis;Île-de-France;2.3026142;48.9542084;0087271148;EYS;b;;;;;48.9542084, 2.3026142
02558;Épinay - Villetaneuse;Épinay - Villetaneuse;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Épinay - Villetaneuse;93800;Épinay-sur-Seine;93-031;Seine-Saint-Denis;Île-de-France;2.32865;48.95838;0087271122;EPV;b;;;;;48.95838, 2.32865
02561;Paris Gare du Nord;Paris Gare du Nord;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;UG Paris-Nord;;4;1;Paris Gare du Nord;75010;Paris;75-056;Paris;Île-de-France;2.355151;48.880185;0087271007;PNO;a;3;;;;48.880185, 2.355151
02561;Paris Gare du Nord;Paris Gare du Nord;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;UG Paris-Nord;;4;4;Paris Gare du Nord transmanche;75010;Paris;75-056;Paris;Île-de-France;2.355151;48.880185;;;a;;;;;48.880185, 2.355151
02565;Diemeringen;Diemeringen;Oui;Non;AG Est-Européen;REGION ALSACE;UG Et TER RHENAN;;1;1;Diemeringen;67430;Diemeringen;67-095;Bas-Rhin;Grand Est;7.18529;48.94050;0087215665;DRI;b;1;;;;48.9405, 7.18529
02571;Berthelming;Berthelming;Oui;Non;AG Est-Européen;REGION ALSACE;UG EV Lorraine;;1;1;Berthelming;57930;Berthelming;57-066;Moselle;Grand Est;7.0087859;48.8096475;0087215335;BHN;c;1;;;;48.8096475, 7.0087859
02574;Réding;Réding;Oui;Non;AG Est-Européen;REGION ALSACE;UG EV Lorraine;;1;1;Réding;57444;Réding;57-566;Moselle;Grand Est;7.095885;48.7429595;0087215079;RDG;c;1;;;;48.7429595, 7.095885
02580;Fouday;Fouday;Oui;Non;AG Est-Européen;REGION ALSACE;UG Et TER RHENAN;;1;1;Fouday;67130;Fouday;67-144;Bas-Rhin;Grand Est;7.1874246;48.4248874;0087214734;FDY;c;1;;;;48.4248874, 7.1874246
02592;Dachstein;Dachstein;Oui;Non;AG Est-Européen;REGION ALSACE;UG Et TER RHENAN;;1;1;Dachstein;67120;Dachstein;67-080;Bas-Rhin;Grand Est;7.5330038;48.5428546;0087214551;DCN;c;1;;;;48.5428546, 7.5330038
02596;Holtzheim;Holtzheim;Oui;Non;AG Est-Européen;REGION ALSACE;UG Et TER RHENAN;;1;1;Holtzheim;67810;Holtzheim;67-212;Bas-Rhin;Grand Est;7.6630912;48.555688;0087214510;HOZ;c;1;;;;48.555688, 7.6630912
02598;Dorlisheim;Dorlisheim;Oui;Non;AG Est-Européen;REGION ALSACE;UG Et TER RHENAN;;1;1;Dorlisheim;67120;Dorlisheim;67-101;Bas-Rhin;Grand Est;7.4930546;48.5249915;0087214338;DHM;c;1;;;;48.5249915, 7.4930546
02602;Goxwiller;Goxwiller;Oui;Non;AG Est-Européen;REGION ALSACE;UG Et TER RHENAN;;1;1;Goxwiller;67210;Goxwiller;67-164;Bas-Rhin;Grand Est;7.4787296;48.4327551;0087214270;GXW;c;1;;;;48.4327551, 7.4787296
02604;Barr;Barr;Oui;Non;AG Est-Européen;REGION ALSACE;UG Et TER RHENAN;;1;1;Barr;67140;Barr;67-021;Bas-Rhin;Grand Est;7.4565189;48.4032933;0087214247;BAR;b;1;;;;48.4032933, 7.4565189
